Sku,Count
210017-0118-53,0
210017-1218-53,0
210017-1718-53,0
210022-1518-56,0
210030-0118-54,0
210032-0718-52,0
210033-0718-56,0
210033-1218-56,0
210035-1218-51,0
210037-0718-50,0
210038-0418-48,0
210039-1218-49,0
210041-0218-53,0
210046-0118-54,0
210053-0118-52,0
210059-1218-52,0
210080-0518-56,0
210080-1218-56,0
210081-0118-54,0
210081-0918-54,0
240019-1418-50,0
270006-0418-51,0
270028-0400-48,0
30S-000100-0504,0
30S-000100-1216,0
30S-000100-2304,0
30S-000101-0504,0
30S-000101-1216,0
30S-000101-2304,0
30S-000102-0504,0
30S-000102-0707,0
30S-000102-2407,0
30S-000103-0504,0
30S-000103-0707,0
30S-000103-2407,0
30S-000104-0504,0
30S-000104-0707,0
30S-000104-2407,0
30S-000105-0116,0
30S-000105-0216,0
30S-000105-1304,0
30S-000106-0116,0
30S-000106-0916,0
30S-000106-1304,0
30S-000107-0107,0
30S-000107-0202,0
30S-000107-0404,0
30S-000108-0404,0
30S-000108-0907,0
30S-000108-1304,0
30S-000108-2106,0
30S-000108-2407,0
30S-000108-2604,0
30S-000109-1210,0
30S-000109-2309,0
30S-000109-2406,0
30S-000110-1210,0
30S-000110-2309,0
30S-000110-2406,0
30S-000111-0107,0
30S-000111-0906,3
30S-000111-1207,0
30S-000111-2316,0
30S-000111-2406,0
30S-000111-2904,0
30S-000112-0202,185
30S-000112-0606,0
30S-000112-0707,111
30S-000112-0916,13
30S-000112-1207,0
30S-000112-2306,172
30S-000112-2316,0
30S-000112-2404,160
30S-000113-0107,0
30S-000113-0202,0
30S-000113-1111,0
30S-000114-0107,0
30S-000114-0707,0
30S-000114-1304,0
30S-000115-0202,24
30S-000115-0916,0
30S-000115-1304,0
30S-000115-1402,0
30S-000116-0107,0
30S-000116-0916,0
30S-000116-2407,0
30S-000117-0202,0
30S-000117-0404,0
30S-000117-0502,0
30S-000117-1211,0
30S-000118-0909,0
30S-000118-1304,2
30S-000118-2302,56
30S-000118-2407,0
30S-000118-2904,0
30S-000119-0107,0
30S-000119-1104,0
30S-000119-1304,0
30S-000120-0101,105
30S-000120-0110,0
30S-000120-0506,0
30S-000120-2307,0
30S-000120-2904,197
30S-000121-0107,1
30S-000121-0404,127
30S-000121-0504,7
30S-000121-1304,0
30S-000121-2310,0
30S-000121-2904,155
30S-000122-0107,0
30S-000122-0202,0
30S-000122-0404,0
30S-000122-0910,0
30S-000122-1304,13
30S-000122-2404,14
30S-000123-0107,0
30S-000123-0404,1
30S-000123-0910,0
30S-000123-1304,0
30S-000123-2404,85
30S-000123-2604,0
30S-000124-0107,0
30S-000124-1306,0
30S-000124-2504,0
30S-000125-0107,0
30S-000125-1306,0
30S-000125-2507,0
30S-000126-0107,0
30S-000126-1306,0
30S-000126-2407,0
30S-000127-0107,0
30S-000127-1306,0
30S-000128-0107,0
30S-000128-0404,0
30S-000128-1306,0
30S-000129-0107,0
30S-000129-0406,0
30S-000129-1304,0
30S-000130-0107,0
30S-000130-1306,0
30S-000130-2507,0
30S-000131-0107,0
30S-000131-1306,0
30S-000131-2507,0
30S-000132-0107,0
30S-000132-1306,0
30S-000132-2504,0
30S-000200-1304,0
30S-000200-2506,0
30S-000201-1304,0
30S-000201-2506,0
30S-000202-0101,0
30S-000202-1206,0
30S-000202-2706,0
30S-000203-1206,0
30S-000203-1207,0
30S-000203-1304,0
30S-000203-2904,0
30S-000203-2906,0
30S-000204-0207,0
30S-000204-0404,0
30S-000204-0707,0
30S-000205-0202,235
30S-000205-0207,629
30S-000205-0304,2
30S-000205-0404,0
30S-000205-0606,0
30S-000205-0707,88
30S-000205-0707P,4
30S-000205-1706P,0
30S-000206-0101,0
30S-000206-0106,112
30S-000206-0106p,196
30S-000206-0404,0
